category,time,total,probability
Arson,0,231,0.06534653465346535
Arson,1,219,0.06195190947666195
Arson,2,249,0.07043847241867043
Arson,3,230,0.06506364922206506
Arson,4,191,0.05403111739745403
Arson,5,154,0.04356435643564356
Arson,6,102,0.028854314002828854
Arson,7,80,0.02263083451202263
Arson,8,84,0.023762376237623763
Arson,9,69,0.01951909476661952
Arson,10,78,0.022065063649222064
Arson,11,76,0.0214992927864215
Arson,12,95,0.026874115983026876
Arson,13,107,0.03026874115983027
Arson,14,108,0.030551626591230552
Arson,15,124,0.03507779349363508
Arson,16,114,0.03224893917963225
Arson,17,142,0.04016973125884017
Arson,18,135,0.03818953323903819
Arson,19,153,0.04328147100424328
Arson,20,178,0.050353606789250355
Arson,21,173,0.04893917963224894
Arson,22,216,0.061103253182461105
Arson,23,227,0.06421499292786421
Assault,0,10019,0.05626565430795323
Assault,1,8609,0.048347242033852614
Assault,2,7826,0.043949996068873336
Assault,3,3952,0.022194017948401156
Assault,4,2475,0.013899340693900015
Assault,5,1940,0.010894836745925668
Assault,6,2605,0.014629407073781632
Assault,7,3852,0.021632428425415295
Assault,8,5973,0.03354374220794537
Assault,9,6538,0.03671672301281547
Assault,10,7279,0.04087810137814069
Assault,11,7673,0.04309076409870497
Assault,12,9634,0.054103534644457676
Assault,13,8351,0.0468983410645491
Assault,14,8489,0.04767333460626959
Assault,15,9515,0.0534352431121045
Assault,16,9317,0.0523232958565925
Assault,17,9535,0.053547561016701675
Assault,18,9371,0.05262655419900486
Assault,19,9103,0.051121494277402764
Assault,20,9019,0.05064975907809464
Assault,21,9393,0.052750103894061755
Assault,22,9029,0.050705918030393225
Assault,23,8569,0.04812260622465827
Bad Checks,0,155,0.17357222844344905
Bad Checks,1,3,0.0033594624860022394
Bad Checks,2,2,0.0022396416573348264
Bad Checks,3,3,0.0033594624860022394
Bad Checks,4,3,0.0033594624860022394
Bad Checks,5,2,0.0022396416573348264
Bad Checks,6,3,0.0033594624860022394
Bad Checks,7,12,0.013437849944008958
Bad Checks,8,48,0.05375139977603583
Bad Checks,9,64,0.07166853303471445
Bad Checks,10,58,0.06494960806270997
Bad Checks,11,46,0.051511758118701005
Bad Checks,12,182,0.2038073908174692
Bad Checks,13,45,0.05039193729003359
Bad Checks,14,47,0.05263157894736842
Bad Checks,15,59,0.06606942889137737
Bad Checks,16,48,0.05375139977603583
Bad Checks,17,40,0.04479283314669653
Bad Checks,18,20,0.022396416573348264
Bad Checks,19,20,0.022396416573348264
Bad Checks,20,11,0.012318029115341545
Bad Checks,21,9,0.010078387458006719
Bad Checks,22,8,0.008958566629339306
Bad Checks,23,5,0.005599104143337066
Bribery,0,39,0.052917232021709636
Bribery,1,24,0.032564450474898234
Bribery,2,26,0.035278154681139755
Bribery,3,19,0.025780189959294438
Bribery,4,8,0.010854816824966078
Bribery,5,8,0.010854816824966078
Bribery,6,6,0.008141112618724558
Bribery,7,10,0.013568521031207599
Bribery,8,14,0.018995929443690638
Bribery,9,32,0.04341926729986431
Bribery,10,38,0.051560379918588875
Bribery,11,31,0.04206241519674356
Bribery,12,37,0.050203527815468114
Bribery,13,39,0.052917232021709636
Bribery,14,38,0.051560379918588875
Bribery,15,35,0.04748982360922659
Bribery,16,45,0.06105834464043419
Bribery,17,49,0.06648575305291723
Bribery,18,26,0.035278154681139755
Bribery,19,42,0.05698778833107191
Bribery,20,42,0.05698778833107191
Bribery,21,42,0.05698778833107191
Bribery,22,47,0.06377204884667571
Bribery,23,40,0.054274084124830396
Burglary,0,3159,0.037466642946095
Burglary,1,2045,0.02425428452825713
Burglary,2,2168,0.025713099685702425
Burglary,3,2172,0.02576054082903398
Burglary,4,1944,0.023056395659135386
Burglary,5,1775,0.021052007353377217
Burglary,6,1866,0.022131293364170076
Burglary,7,2955,0.03504714463618573
Burglary,8,4631,0.05492498369210698
