category,district,count
Arson,BAYVIEW,914
Arson,CENTRAL,250
Arson,INGLESIDE,423
Arson,MISSION,378
Arson,NORTHERN,348
Arson,PARK,142
Arson,RICHMOND,217
Arson,SOUTHERN,415
Arson,TARAVAL,307
Arson,TENDERLOIN,141
Assault,BAYVIEW,22642
Assault,CENTRAL,16176
Assault,INGLESIDE,20197
Assault,MISSION,25985
Assault,NORTHERN,19323
Assault,PARK,7972
Assault,RICHMOND,7262
Assault,SOUTHERN,28304
Assault,TARAVAL,12561
Assault,TENDERLOIN,17644
Bad Checks,BAYVIEW,72
Bad Checks,CENTRAL,127
Bad Checks,INGLESIDE,72
Bad Checks,MISSION,85
Bad Checks,NORTHERN,136
Bad Checks,PARK,32
Bad Checks,RICHMOND,64
Bad Checks,SOUTHERN,170
Bad Checks,TARAVAL,97
Bad Checks,TENDERLOIN,38
Bribery,BAYVIEW,140
Bribery,CENTRAL,41
Bribery,INGLESIDE,140
Bribery,MISSION,141
Bribery,NORTHERN,43
Bribery,PARK,25
Bribery,RICHMOND,21
Bribery,SOUTHERN,101
Bribery,TARAVAL,45
Bribery,TENDERLOIN,40
Burglary,BAYVIEW,8931
Burglary,CENTRAL,10283
Burglary,INGLESIDE,7557
Burglary,MISSION,8776
Burglary,NORTHERN,13217
Burglary,PARK,6634
Burglary,RICHMOND,6040
Burglary,SOUTHERN,11384
Burglary,TARAVAL,8142
Burglary,TENDERLOIN,3351
Disorderly Conduct,BAYVIEW,519
Disorderly Conduct,CENTRAL,995
Disorderly Conduct,INGLESIDE,357
Disorderly Conduct,MISSION,2497
Disorderly Conduct,NORTHERN,1104
Disorderly Conduct,PARK,595
Disorderly Conduct,RICHMOND,218
Disorderly Conduct,SOUTHERN,1260
Disorderly Conduct,TARAVAL,351
Disorderly Conduct,TENDERLOIN,1704
Driving Under The Influence,BAYVIEW,431
Driving Under The Influence,CENTRAL,382
Driving Under The Influence,INGLESIDE,485
Driving Under The Influence,MISSION,828
