category,time,count
Arson,0,231
Arson,1,219
Arson,2,249
Arson,3,230
Arson,4,191
Arson,5,154
Arson,6,102
Arson,7,80
Arson,8,84
Arson,9,69
Arson,10,78
Arson,11,76
Arson,12,95
Arson,13,107
Arson,14,108
Arson,15,124
Arson,16,114
Arson,17,142
Arson,18,135
Arson,19,153
Arson,20,178
Arson,21,173
Arson,22,216
Arson,23,227
Assault,0,10019
Assault,1,8609
Assault,2,7826
Assault,3,3952
Assault,4,2475
Assault,5,1940
Assault,6,2605
Assault,7,3852
Assault,8,5973
Assault,9,6538
Assault,10,7279
Assault,11,7673
Assault,12,9634
Assault,13,8351
Assault,14,8489
Assault,15,9515
Assault,16,9317
Assault,17,9535
Assault,18,9371
Assault,19,9103
Assault,20,9019
Assault,21,9393
Assault,22,9029
Assault,23,8569
Bad Checks,0,155
Bad Checks,1,3
Bad Checks,2,2
Bad Checks,3,3
Bad Checks,4,3
Bad Checks,5,2
Bad Checks,6,3
Bad Checks,7,12
Bad Checks,8,48
Bad Checks,9,64
Bad Checks,10,58
Bad Checks,11,46
Bad Checks,12,182
Bad Checks,13,45
Bad Checks,14,47
Bad Checks,15,59
Bad Checks,16,48
Bad Checks,17,40
Bad Checks,18,20
Bad Checks,19,20
Bad Checks,20,11
Bad Checks,21,9
Bad Checks,22,8
Bad Checks,23,5
Bribery,0,39
Bribery,1,24
Bribery,2,26
Bribery,3,19
Bribery,4,8
Bribery,5,8
Bribery,6,6
Bribery,7,10
Bribery,8,14
Bribery,9,32
Bribery,10,38
Bribery,11,31
Bribery,12,37
Bribery,13,39
Bribery,14,38
Bribery,15,35
Bribery,16,45
Bribery,17,49
Bribery,18,26
Bribery,19,42
Bribery,20,42
Bribery,21,42
Bribery,22,47
Bribery,23,40
Burglary,0,3159
Burglary,1,2045
Burglary,2,2168
Burglary,3,2172
Burglary,4,1944
Burglary,5,1775
Burglary,6,1866
Burglary,7,2955
Burglary,8,4631
Burglary,9,4020
Burglary,10,3712
Burglary,11,3503
Burglary,12,4718
Burglary,13,3100
Burglary,14,3423
Burglary,15,3994
Burglary,16,4420
Burglary,17,5908
Burglary,18,5950
Burglary,19,4430
Burglary,20,3868
Burglary,21,3738
Burglary,22,3529
Burglary,23,3287
Disorderly Conduct,0,505
Disorderly Conduct,1,374
Disorderly Conduct,2,330
Disorderly Conduct,3,214
Disorderly Conduct,4,153
Disorderly Conduct,5,389
Disorderly Conduct,6,969
Disorderly Conduct,7,861
Disorderly Conduct,8,649
Disorderly Conduct,9,493
Disorderly Conduct,10,425
Disorderly Conduct,11,374
Disorderly Conduct,12,380
Disorderly Conduct,13,368
Disorderly Conduct,14,339
Disorderly Conduct,15,325
Disorderly Conduct,16,300
Disorderly Conduct,17,285
Disorderly Conduct,18,310
Disorderly Conduct,19,258
Disorderly Conduct,20,244
Disorderly Conduct,21,280
Disorderly Conduct,22,372
Disorderly Conduct,23,403
Driving Under The Influence,0,685
Driving Under The Influence,1,625
Driving Under The Influence,2,618
Driving Under The Influence,3,272
Driving Under The Influence,4,103
Driving Under The Influence,5,58
Driving Under The Influence,6,65
Driving Under The Influence,7,42
Driving Under The Influence,8,46
Driving Under The Influence,9,45
Driving Under The Influence,10,23
Driving Under The Influence,11,44
Driving Under The Influence,12,53
Driving Under The Influence,13,63
Driving Under The Influence,14,67
Driving Under The Influence,15,96
Driving Under The Influence,16,133
Driving Under The Influence,17,171
Driving Under The Influence,18,179
Driving Under The Influence,19,225
Driving Under The Influence,20,259
Driving Under The Influence,21,352
Driving Under The Influence,22,479
Driving Under The Influence,23,612
Drug/Narcotic,0,3634
Drug/Narcotic,1,2198
Drug/Narcotic,2,1783
Drug/Narcotic,3,1198
Drug/Narcotic,4,880
Drug/Narcotic,5,446
Drug/Narcotic,6,1289
Drug/Narcotic,7,2912
Drug/Narcotic,8,3888
Drug/Narcotic,9,4565
Drug/Narcotic,10,5119
Drug/Narcotic,11,5680
Drug/Narcotic,12,5904
Drug/Narcotic,13,7666
Drug/Narcotic,14,8722
Drug/Narcotic,15,7993
Drug/Narcotic,16,8408
Drug/Narcotic,17,8641
Drug/Narcotic,18,7704
Drug/Narcotic,19,6560
Drug/Narcotic,20,5022
Drug/Narcotic,21,4727
Drug/Narcotic,22,5588
Drug/Narcotic,23,4778
Drunkenness,0,805
Drunkenness,1,763
Drunkenness,2,636
Drunkenness,3,251
Drunkenness,4,128
Drunkenness,5,42
Drunkenness,6,77
Drunkenness,7,161
Drunkenness,8,157
Drunkenness,9,168
Drunkenness,10,197
Drunkenness,11,277
Drunkenness,12,277
Drunkenness,13,274
Drunkenness,14,314
Drunkenness,15,349
Drunkenness,16,419
Drunkenness,17,499
Drunkenness,18,551
Drunkenness,19,526
Drunkenness,20,549
Drunkenness,21,601
Drunkenness,22,715
Drunkenness,23,715
Embezzlement,0,594
Embezzlement,1,11
Embezzlement,2,7
Embezzlement,3,12
Embezzlement,4,12
Embezzlement,5,7
Embezzlement,6,11
Embezzlement,7,35
Embezzlement,8,207
Embezzlement,9,203
Embezzlement,10,154
Embezzlement,11,110
Embezzlement,12,467
Embezzlement,13,96
Embezzlement,14,115
Embezzlement,15,127
Embezzlement,16,111
Embezzlement,17,128
Embezzlement,18,104
Embezzlement,19,75
Embezzlement,20,50
Embezzlement,21,54
Embezzlement,22,32
Embezzlement,23,36
Extortion,0,73
Extortion,1,11
Extortion,2,12
Extortion,3,8
Extortion,4,4
Extortion,5,7
Extortion,6,8
Extortion,7,15
Extortion,8,24
Extortion,9,27
Extortion,10,59
Extortion,11,35
Extortion,12,70
Extortion,13,45
Extortion,14,38
Extortion,15,40
Extortion,16,31
Extortion,17,27
Extortion,18,24
Extortion,19,28
Extortion,20,19
Extortion,21,23
Extortion,22,24
Extortion,23,19
Family Offenses,0,65
Family Offenses,1,25
Family Offenses,2,22
Family Offenses,3,9
Family Offenses,4,5
Family Offenses,5,4
Family Offenses,6,8
Family Offenses,7,28
Family Offenses,8,45
Family Offenses,9,43
Family Offenses,10,62
Family Offenses,11,69
Family Offenses,12,62
Family Offenses,13,87
Family Offenses,14,83
Family Offenses,15,99
Family Offenses,16,73
Family Offenses,17,67
Family Offenses,18,54
Family Offenses,19,60
Family Offenses,20,37
Family Offenses,21,47
Family Offenses,22,38
Family Offenses,23,38
Forgery/Counterfeiting,0,3502
Forgery/Counterfeiting,1,195
Forgery/Counterfeiting,2,123
Forgery/Counterfeiting,3,95
Forgery/Counterfeiting,4,68
Forgery/Counterfeiting,5,53
Forgery/Counterfeiting,6,138
Forgery/Counterfeiting,7,268
Forgery/Counterfeiting,8,1089
Forgery/Counterfeiting,9,1414
Forgery/Counterfeiting,10,1192
Forgery/Counterfeiting,11,1049
Forgery/Counterfeiting,12,3262
Forgery/Counterfeiting,13,1398
Forgery/Counterfeiting,14,1276
Forgery/Counterfeiting,15,1509
Forgery/Counterfeiting,16,1361
Forgery/Counterfeiting,17,1270
Forgery/Counterfeiting,18,848
Forgery/Counterfeiting,19,604
Forgery/Counterfeiting,20,557
Forgery/Counterfeiting,21,431
Forgery/Counterfeiting,22,372
Forgery/Counterfeiting,23,301
Fraud,0,5235
Fraud,1,696
Fraud,2,465
Fraud,3,285
Fraud,4,182
Fraud,5,179
Fraud,6,329
Fraud,7,651
Fraud,8,1830
Fraud,9,2021
Fraud,10,1953
Fraud,11,1570
Fraud,12,4698
Fraud,13,2127
Fraud,14,1983
Fraud,15,2330
Fraud,16,2044
Fraud,17,2099
Fraud,18,1869
Fraud,19,1463
Fraud,20,1267
Fraud,21,1017
Fraud,22,1024
Fraud,23,1112
Gambling,0,20
Gambling,1,1
Gambling,2,2
Gambling,3,2
Gambling,4,1
Gambling,5,4
Gambling,6,2
Gambling,7,5
Gambling,8,11
Gambling,9,11
Gambling,10,20
Gambling,11,27
Gambling,12,31
Gambling,13,29
Gambling,14,27
Gambling,15,30
Gambling,16,19
Gambling,17,20
Gambling,18,22
Gambling,19,12
Gambling,20,8
Gambling,21,6
Gambling,22,9
Gambling,23,8
Kidnapping,0,315
Kidnapping,1,247
Kidnapping,2,250
Kidnapping,3,171
Kidnapping,4,95
Kidnapping,5,97
Kidnapping,6,77
Kidnapping,7,126
Kidnapping,8,148
Kidnapping,9,194
