category,countrycode,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
3672,384,1,0,0,0,0,34,1983
3672,736,1,0,0,0,0,34,1992
3672,736,1,0,0,1,0,34,1994
3672,736,1,0,0,1,0,34,1995
3672,736,1,0,0,1,0,34,1997
3672,736,1,0,0,1,0,34,2000
3672,1027,3,0,0,1,0,34,1980
3672,1298,1,0,0,1,0,34,1994
3672,3524,4,0,0,0,0,34,1977
3672,3524,6,0,0,1,0,34,1978
3672,3524,1,0,0,1,0,34,1979
3672,3524,7,0,0,0,0,34,1982
3672,3524,2,0,0,0,0,34,1983
3672,3524,27,0,0,0,0,34,1984
3672,3524,14,0,0,2,0,34,1985
3672,3524,13,0,0,2,0,34,1986
3672,3524,11,0,0,0,0,34,1987
3672,3524,7,0,0,0,0,34,1988
3672,3524,8,0,0,0,0,34,1989
3672,3524,8,0,0,0,0,34,1990
3672,3524,12,0,0,4,0,34,1991
3672,3524,17,0,0,3,0,34,1992
3672,3524,16,4,0,6,0,34,1994
3672,3524,24,0,0,4,1,34,1995
3672,3524,11,0,0,1,0,34,1996
3672,3524,16,0,0,6,0,34,1997
3672,3524,9,2,0,1,0,34,1998
3672,3524,9,0,0,0,0,34,1999
3672,3524,5,0,0,0,0,34,2000
3672,3524,2,0,0,0,0,34,2001
3672,3524,2,0,0,0,0,34,2003
3672,3524,1,0,0,0,0,34,2004
3672,3524,3,0,0,0,0,34,2005
3672,3524,3,0,0,0,0,34,2007
3672,3524,2,0,0,0,0,34,2008
3672,3524,1,1,0,0,0,34,2009
3672,3524,4,0,0,0,0,34,2012
3672,3524,2,0,0,0,0,34,2013
3672,3524,5,3,0,9,0,34,2015
3672,72,1,0,0,1,0,98,1973
3672,72,1,29,0,0,0,98,1988
3672,72,2,0,0,0,0,98,1992
3672,72,3,0,0,0,0,98,1995
3672,72,1,0,0,0,0,98,2000
3672,72,2,0,0,0,0,98,2002
3672,72,1,0,0,0,0,98,2003
3672,72,1,0,0,0,0,98,2004
3672,72,2,0,0,0,0,98,2005
3672,72,1,4,0,2,0,98,2006
3672,72,5,0,0,1,0,98,2008
3672,72,9,15,2,19,0,98,2009
3672,72,6,6,6,3,0,98,2010
3672,72,6,10,10,0,0,98,2011
3672,72,8,21,4,26,0,98,2012
3672,72,4,9,7,10,0,98,2013
3672,72,5,6,6,1,1,98,2014
3672,72,2,0,0,0,0,98,2015
3672,87,1,36,0,0,0,98,1986
3672,87,1,0,0,2,0,98,1990
3672,87,2,9,0,0,0,98,1991
3672,87,2,4,0,0,0,98,1992
3672,87,2,1,0,0,0,98,1999
3672,87,2,24,0,0,0,98,2001
3672,383,1,1,0,2,0,98,1974
3672,383,1,5,0,0,0,98,1978
3672,383,1,111,0,0,0,98,1983
3672,383,1,0,0,0,0,98,1985
3672,383,1,0,0,0,0,98,1995
3672,383,1,0,0,0,0,98,2010
3672,384,2,0,0,0,0,98,1973
3672,384,1,0,0,0,0,98,1978
3672,384,1,0,0,0,0,98,1994
3672,384,1,0,0,0,0,98,2009
3672,384,2,0,0,0,0,98,2010
3672,499,1,0,0,0,0,98,1974
3672,499,1,1,0,1,0,98,1992
3672,503,1,4,0,5,0,98,1972
3672,503,2,0,0,0,0,98,1982
3672,503,1,0,0,0,0,98,1984
3672,503,1,4,1,38,2,98,1985
3672,503,2,0,0,0,0,98,1986
3672,503,1,0,0,0,0,98,1987
3672,503,1,0,0,0,0,98,1992
3672,503,1,0,0,0,0,98,1995
3672,503,1,0,0,0,0,98,1997
3672,528,1,0,0,10,0,98,1992
3672,591,1,0,0,2,0,98,2000
3672,598,3,0,0,1,0,98,1974
3672,598,2,0,0,24,0,98,1979
3672,598,3,0,0,0,0,98,1980
3672,598,2,0,0,1,0,98,1983
3672,598,2,0,0,0,0,98,1991
