lon,lat,weapontype,attacktype,targettype
-69.95,18.46,3514,486,2644
-99.13,19.43,3514,1451,1326
120.6,15.48,3514,486,1713
23.73,37.98,1137,683,1326
130.4,33.58,1482,1146,1326
-89.18,37.01,1198,398,2585
-56.19,-34.89,1198,486,2585
-122.27,37.81,1137,683,3525
-89.41,43.08,1482,1146,2104
-89.39,43.07,1482,1146,1327
-89.74,43.47,1137,683,2104
-104.99,39.74,1482,1146,2104
12.49,41.89,1198,1427,98
-83.05,42.33,1482,1146,1327
-66.05,18.4,1482,1146,725
13.4,52.52,1137,683,1327
-73.95,40.61,1137,683,1089
-65.83,18.38,1137,683,725
-122.33,47.6,1482,1146,725
-88.24,40.12,1482,1146,2585
-56.19,-34.89,1198,398,1089
-122.32,47.61,1137,683,1089
-122.3,47.66,1137,683,2104
-74.08,40.73,1482,1146,3553
-90.53,14.62,3514,486,1326
121.04,14.68,1137,683,1326
-66.92,10.5,3514,1451,725
-96.41,42.47,1137,683,2644
-88.65,33.61,1482,1146,2644
-73.97,40.78,1198,398,2585
-88.65,33.61,1137,683,1327
-73.79,40.73,1198,398,2585
-82.62,41.24,1482,1146,1327
13.4,52.52,1482,1146,2585
-122.33,47.6,1137,683,2763
-96.41,42.48,1137,683,3514
-96.41,42.47,1137,683,725
-80.28,25.72,1482,1146,2104
120.33,15.68,3514,3514,2104
-105.02,39.75,1137,683,2585
-122.68,45.51,1482,1146,1327
-89.18,37.01,1198,398,2585
-73.97,40.78,1482,1146,725
-73.86,40.84,1482,1146,725
-73.97,40.78,1482,1146,725
-81.51,41.08,1137,683,2644
-104.99,39.74,1137,683,3351
-122.33,47.61,1137,683,1327
-122.33,47.6,1137,683,2763
-66.26,18.46,1482,1146,1327
-66.05,18.4,1482,1146,3525
-66.03,18.44,1482,1146,725
-71.11,42.35,1482,1146,2104
-88.74,42.84,1482,1146,1089
-73.9,40.75,1137,683,725
-73.94,40.68,1137,683,725
-73.97,40.78,1137,683,725
-84.18,39.08,1137,683,2644
11.58,48.14,1198,398,98
-83.67,42.26,1482,1146,1089
-122.27,37.87,1137,683,2585
11.58,48.14,1482,1146,2644
-122.27,37.87,1137,683,2585
-73.97,40.78,1137,683,725
-123.07,44.04,1482,1146,2104
-122.42,37.78,1137,683,2585
-122.27,37.87,1137,683,725
-122.27,37.87,1137,683,725
-122.4,37.78,1198,398,2585
-122.27,37.81,1137,683,725
-77.43,39.33,1137,683,3525
-90.13,30.49,1137,683,1089
-122.3,47.66,1137,683,2104
-81.69,41.5,1137,683,2585
-122.25,38.1,1137,683,2585
-72.67,41.76,1482,1146,1327
-73.96,40.81,1482,1146,1089
-122.3,47.66,1137,683,1089
8.68,50.11,1137,683,98
8.54,47.37,1137,683,98
-74.0,40.73,1482,1146,2585
-73.94,40.68,1482,1146,2104
-73.97,40.78,1137,683,2644
-104.99,39.74,1482,1146,2644
-76.48,42.46,1482,1146,1089
-89.72,43.29,1137,683,3525
-96.41,42.47,1137,683,3525
-96.41,42.47,1137,683,3525
-96.41,42.47,1137,683,3525
-96.41,42.47,1137,683,3525
-110.93,32.22,1137,683,2104
-104.99,39.74,1137,683,2644
-88.23,40.1,1482,1146,2104
-105.27,40.01,1137,683,1089
35.1,31.53,1198,398,3350
120.98,14.6,1137,683,1326
12.49,41.89,1137,683,98
-105.27,40.01,1137,683,2104
-104.82,38.83,1482,1146,2104
-105.27,40.01,1482,1146,2585
-105.27,40.01,1137,683,2585
-81.69,41.5,1482,1146,2644
-104.93,39.75,1137,683,2644
-122.3,47.66,1137,683,1327
-122.27,37.81,1137,683,2104
-122.13,38.02,1137,683,3351
-104.99,39.74,1137,683,2644
-122.33,47.6,1137,683,1327
-104.98,39.74,1137,683,2644
-66.11,18.47,1198,486,2104
-90.53,14.62,1198,1451,1326
-83.05,42.33,1137,683,2585
-83.05,42.33,1137,683,2585
-122.27,37.87,1482,1146,1089
-86.25,33.84,773,1146,2644
-73.19,41.18,1482,1146,2763
-106.62,35.08,1137,683,2104
-76.35,39.54,1137,683,3514
11.58,48.14,1137,683,1327
-76.08,38.56,1137,683,1327
