category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,subtype,type
3668,60.0,100.0,35.0,63.0,1.0,79,98,3672
3668,393.0,1029.0,124.0,1534.0,10.0,79,725,3672
3668,276.0,150.0,13.0,2242.0,4.0,79,1089,3672
3668,11.0,17.0,0.0,17.0,0.0,79,1206,3672
3668,130.0,319.0,88.0,558.0,4.0,79,1326,3672
3668,1349.0,2836.0,825.0,4493.0,242.0,79,1327,3672
3668,60.0,27.0,0.0,32.0,0.0,79,1713,3672
3668,4.0,2.0,0.0,0.0,0.0,79,2032,3672
3668,1616.0,5329.0,2420.0,5175.0,898.0,79,2104,3672
3668,140.0,188.0,16.0,165.0,10.0,79,2352,3672
3668,9.0,12.0,4.0,10.0,0.0,79,2447,3672
3668,2691.0,8926.0,3833.0,8408.0,1693.0,79,2585,3672
3668,1953.0,5890.0,843.0,6932.0,250.0,79,2644,3672
3668,165.0,379.0,38.0,721.0,0.0,79,2763,3672
3668,66.0,5.0,0.0,105.0,0.0,79,3269,3672
3668,69.0,358.0,27.0,296.0,33.0,79,3290,3672
3668,2.0,3.0,0.0,1.0,0.0,79,3350,3672
3668,111.0,549.0,16.0,554.0,0.0,79,3351,3672
3668,22.0,17.0,9.0,14.0,0.0,79,3525,3672
3668,11.0,22.0,0.0,33.0,0.0,79,3553,3672
3668,6.0,5.0,0.0,50.0,0.0,181,725,3672
3668,2.0,0.0,0.0,0.0,0.0,181,1089,3672
3668,3.0,0.0,0.0,0.0,0.0,181,1326,3672
3668,28.0,3.0,0.0,20.0,0.0,181,1327,3672
3668,4.0,0.0,0.0,6.0,0.0,181,1713,3672
3668,1.0,0.0,0.0,1.0,0.0,181,2104,3672
3668,1.0,0.0,0.0,0.0,0.0,181,2352,3672
3668,10.0,13.0,3.0,13.0,1.0,181,2585,3672
3668,10.0,15.0,0.0,22.0,0.0,181,2644,3672
3668,1.0,0.0,0.0,0.0,0.0,181,2763,3672
3668,6.0,4.0,0.0,11.0,0.0,181,3351,3672
3668,17.0,12.0,0.0,100.0,0.0,195,98,3672
3668,175.0,474.0,30.0,769.0,0.0,195,725,3672
3668,63.0,116.0,2.0,302.0,0.0,195,1089,3672
3668,2.0,0.0,0.0,0.0,0.0,195,1206,3672
3668,18.0,21.0,0.0,6.0,0.0,195,1326,3672
3668,164.0,334.0,7.0,583.0,0.0,195,1327,3672
3668,68.0,79.0,0.0,80.0,0.0,195,1713,3672
3668,2.0,9.0,0.0,1.0,0.0,195,2032,3672
3668,386.0,1031.0,69.0,1411.0,10.0,195,2104,3672
3668,1.0,1.0,0.0,0.0,0.0,195,2352,3672
3668,4.0,9.0,1.0,2.0,0.0,195,2447,3672
3668,547.0,1113.0,40.0,1572.0,11.0,195,2585,3672
3668,835.0,5899.0,15.0,2553.0,9.0,195,2644,3672
3668,31.0,129.0,2.0,108.0,0.0,195,2763,3672
3668,20.0,0.0,0.0,0.0,0.0,195,3269,3672
3668,27.0,45.0,0.0,21.0,0.0,195,3290,3672
3668,19.0,30.0,9.0,18.0,0.0,195,3350,3672
3668,104.0,487.0,0.0,719.0,1.0,195,3351,3672
3668,31.0,27.0,6.0,98.0,0.0,195,3525,3672
3668,3.0,2.0,0.0,0.0,0.0,195,3553,3672
3668,10.0,74.0,0.0,2.0,0.0,248,98,3672
3668,40.0,72.0,0.0,63.0,0.0,248,725,3672
3668,1.0,0.0,0.0,1.0,0.0,248,1089,3672
3668,6.0,0.0,0.0,2.0,0.0,248,1206,3672
3668,13.0,28.0,0.0,36.0,0.0,248,1326,3672
3668,13.0,101.0,0.0,92.0,0.0,248,1327,3672
3668,1.0,3.0,0.0,0.0,0.0,248,1713,3672
3668,2.0,0.0,0.0,0.0,0.0,248,2032,3672
3668,25.0,401.0,33.0,87.0,0.0,248,2104,3672
3668,7.0,84.0,0.0,27.0,0.0,248,2352,3672
3668,11.0,39.0,0.0,83.0,0.0,248,2585,3672
3668,124.0,1376.0,68.0,1029.0,0.0,248,2644,3672
3668,5.0,3.0,0.0,0.0,0.0,248,2763,3672
3668,16.0,313.0,21.0,371.0,0.0,248,3351,3672
3668,174.0,64.0,0.0,0.0,0.0,248,3525,3672
3668,8.0,12.0,0.0,29.0,0.0,248,3553,3672
3668,1.0,0.0,0.0,0.0,0.0,350,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,385,34,3672
3668,7.0,0.0,0.0,0.0,0.0,385,98,3672
3668,235.0,31.0,1.0,38.0,2.0,385,725,3672
3668,15.0,1.0,0.0,1.0,0.0,385,1089,3672
3668,37.0,34.0,0.0,228.0,0.0,385,1326,3672
3668,161.0,20.0,0.0,85.0,0.0,385,1327,3672
3668,38.0,4.0,0.0,7.0,0.0,385,1713,3672
3668,94.0,166.0,100.0,65.0,0.0,385,2104,3672
3668,4.0,0.0,0.0,0.0,0.0,385,2352,3672
3668,1.0,0.0,0.0,0.0,0.0,385,2447,3672
3668,41.0,67.0,0.0,55.0,0.0,385,2585,3672
3668,112.0,34.0,0.0,26.0,0.0,385,2644,3672
3668,20.0,87.0,0.0,237.0,0.0,385,2763,3672
3668,3.0,0.0,0.0,0.0,0.0,385,3269,3672
3668,2.0,40.0,0.0,0.0,0.0,385,3290,3672
3668,14.0,2.0,0.0,6.0,0.0,385,3351,3672
3668,5.0,0.0,0.0,0.0,0.0,385,3525,3672
3668,3.0,2.0,0.0,0.0,0.0,457,725,3672
3668,1.0,0.0,0.0,0.0,0.0,457,1326,3672
3668,7.0,10.0,0.0,0.0,0.0,457,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,457,1713,3672
3668,2.0,2.0,0.0,1.0,0.0,457,2104,3672
3668,1.0,1.0,0.0,0.0,0.0,457,2585,3672
3668,6.0,16.0,0.0,69.0,0.0,457,2644,3672
3668,1.0,0.0,0.0,0.0,0.0,457,3351,3672
3668,2.0,1.0,0.0,1.0,0.0,501,98,3672
3668,19.0,8.0,1.0,44.0,0.0,501,725,3672
3668,17.0,2.0,1.0,8.0,0.0,501,1326,3672
3668,10.0,1.0,0.0,7.0,0.0,501,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,501,2032,3672
3668,2.0,2.0,0.0,0.0,0.0,501,2104,3672
