category,id,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
Target Type,ARG,1,0,0,0,0,Abortion Related,1983
Target Type,CAN,1,0,0,0,0,Abortion Related,1992
Target Type,CAN,1,0,0,1,0,Abortion Related,1994
Target Type,CAN,1,0,0,1,0,Abortion Related,1995
Target Type,CAN,1,0,0,1,0,Abortion Related,1997
Target Type,CAN,1,0,0,1,0,Abortion Related,2000
Target Type,DEU,3,0,0,1,0,Abortion Related,1980
Target Type,GBR,1,0,0,1,0,Abortion Related,1994
Target Type,USA,3,0,0,0,0,Abortion Related,1977
Target Type,USA,5,0,0,1,0,Abortion Related,1978
Target Type,USA,1,0,0,1,0,Abortion Related,1979
Target Type,USA,7,0,0,0,0,Abortion Related,1982
Target Type,USA,2,0,0,0,0,Abortion Related,1983
Target Type,USA,27,0,0,0,0,Abortion Related,1984
Target Type,USA,14,0,0,2,0,Abortion Related,1985
Target Type,USA,13,0,0,2,0,Abortion Related,1986
Target Type,USA,10,0,0,0,0,Abortion Related,1987
Target Type,USA,6,0,0,0,0,Abortion Related,1988
Target Type,USA,8,0,0,0,0,Abortion Related,1989
Target Type,USA,7,0,0,0,0,Abortion Related,1990
Target Type,USA,12,0,0,4,0,Abortion Related,1991
Target Type,USA,17,0,0,3,0,Abortion Related,1992
Target Type,USA,15,4,0,6,0,Abortion Related,1994
Target Type,USA,21,0,0,4,1,Abortion Related,1995
Target Type,USA,11,0,0,1,0,Abortion Related,1996
Target Type,USA,16,0,0,6,0,Abortion Related,1997
Target Type,USA,9,2,0,1,0,Abortion Related,1998
Target Type,USA,9,0,0,0,0,Abortion Related,1999
Target Type,USA,5,0,0,0,0,Abortion Related,2000
Target Type,USA,2,0,0,0,0,Abortion Related,2001
Target Type,USA,2,0,0,0,0,Abortion Related,2003
Target Type,USA,1,0,0,0,0,Abortion Related,2004
Target Type,USA,3,0,0,0,0,Abortion Related,2005
Target Type,USA,3,0,0,0,0,Abortion Related,2007
Target Type,USA,2,0,0,0,0,Abortion Related,2008
Target Type,USA,1,1,0,0,0,Abortion Related,2009
Target Type,USA,4,0,0,0,0,Abortion Related,2012
Target Type,USA,2,0,0,0,0,Abortion Related,2013
Target Type,USA,5,3,0,9,0,Abortion Related,2015
Target Type,AFG,1,0,0,1,0,Airports & Aircraft,1973
Target Type,AFG,1,29,0,0,0,Airports & Aircraft,1988
Target Type,AFG,2,0,0,0,0,Airports & Aircraft,1992
Target Type,AFG,3,0,0,0,0,Airports & Aircraft,1995
Target Type,AFG,1,0,0,0,0,Airports & Aircraft,2000
Target Type,AFG,2,0,0,0,0,Airports & Aircraft,2002
Target Type,AFG,1,0,0,0,0,Airports & Aircraft,2003
Target Type,AFG,1,0,0,0,0,Airports & Aircraft,2004
Target Type,AFG,2,0,0,0,0,Airports & Aircraft,2005
Target Type,AFG,1,4,0,2,0,Airports & Aircraft,2006
Target Type,AFG,5,0,0,1,0,Airports & Aircraft,2008
Target Type,AFG,9,15,2,19,0,Airports & Aircraft,2009
Target Type,AFG,6,6,6,3,0,Airports & Aircraft,2010
Target Type,AFG,6,10,10,0,0,Airports & Aircraft,2011
Target Type,AFG,8,21,4,26,0,Airports & Aircraft,2012
Target Type,AFG,4,9,7,10,0,Airports & Aircraft,2013
Target Type,AFG,5,6,6,1,1,Airports & Aircraft,2014
Target Type,AFG,2,0,0,0,0,Airports & Aircraft,2015
Target Type,AGO,1,36,0,0,0,Airports & Aircraft,1986
Target Type,AGO,1,0,0,2,0,Airports & Aircraft,1990
Target Type,AGO,2,9,0,0,0,Airports & Aircraft,1991
Target Type,AGO,2,4,0,0,0,Airports & Aircraft,1992
Target Type,AGO,2,1,0,0,0,Airports & Aircraft,1999
Target Type,AGO,2,24,0,0,0,Airports & Aircraft,2001
Target Type,ARE,1,1,0,2,0,Airports & Aircraft,1974
Target Type,ARE,1,111,0,0,0,Airports & Aircraft,1983
Target Type,ARE,1,0,0,0,0,Airports & Aircraft,1985
Target Type,ARE,1,0,0,0,0,Airports & Aircraft,1995
Target Type,ARE,1,0,0,0,0,Airports & Aircraft,2010
Target Type,ARG,2,0,0,0,0,Airports & Aircraft,1973
Target Type,ARG,1,0,0,0,0,Airports & Aircraft,1978
Target Type,ARG,1,0,0,0,0,Airports & Aircraft,1994
Target Type,ARG,1,0,0,0,0,Airports & Aircraft,2009
Target Type,ARG,2,0,0,0,0,Airports & Aircraft,2010
Target Type,AUS,1,0,0,0,0,Airports & Aircraft,1974
Target Type,AUS,1,1,0,1,0,Airports & Aircraft,1992
