category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
3672,4,0,0,0,0,34,1977
3672,6,0,0,1,0,34,1978
3672,1,0,0,1,0,34,1979
3672,3,0,0,1,0,34,1980
3672,7,0,0,0,0,34,1982
3672,3,0,0,0,0,34,1983
3672,27,0,0,0,0,34,1984
3672,14,0,0,2,0,34,1985
3672,13,0,0,2,0,34,1986
3672,11,0,0,0,0,34,1987
3672,7,0,0,0,0,34,1988
3672,8,0,0,0,0,34,1989
3672,8,0,0,0,0,34,1990
3672,12,0,0,4,0,34,1991
3672,18,0,0,3,0,34,1992
3672,18,4,0,8,0,34,1994
3672,25,0,0,5,1,34,1995
3672,11,0,0,1,0,34,1996
3672,17,0,0,7,0,34,1997
3672,9,2,0,1,0,34,1998
3672,9,0,0,0,0,34,1999
3672,6,0,0,1,0,34,2000
3672,2,0,0,0,0,34,2001
3672,2,0,0,0,0,34,2003
3672,1,0,0,0,0,34,2004
3672,3,0,0,0,0,34,2005
3672,3,0,0,0,0,34,2007
3672,2,0,0,0,0,34,2008
3672,1,1,0,0,0,34,2009
3672,4,0,0,0,0,34,2012
3672,2,0,0,0,0,34,2013
3672,5,3,0,9,0,34,2015
3672,24,50,1,15,0,98,1970
3672,9,0,0,0,0,98,1971
3672,21,112,1,83,0,98,1972
3672,20,69,2,122,0,98,1973
3672,20,92,0,44,0,98,1974
3672,18,19,0,171,1,98,1975
3672,42,114,10,341,3,98,1976
3672,30,112,6,58,1,98,1977
3672,35,63,3,54,0,98,1978
3672,65,57,0,62,0,98,1979
3672,63,14,0,64,0,98,1980
3672,67,16,4,122,2,98,1981
3672,38,16,2,116,0,98,1982
3672,46,123,0,65,0,98,1983
3672,30,41,3,94,0,98,1984
3672,52,423,5,283,4,98,1985
3672,33,157,0,252,0,98,1986
3672,19,6,0,78,0,98,1987
3672,21,304,0,16,0,98,1988
3672,31,322,0,18,0,98,1989
3672,22,5,0,2,0,98,1990
3672,63,26,4,33,0,98,1991
3672,63,28,0,132,0,98,1992
3672,34,27,1,12,0,98,1994
3672,26,2,0,15,0,98,1995
3672,19,128,1,104,0,98,1996
3672,25,3,0,2,0,98,1997
3672,7,1,1,10,0,98,1998
3672,12,2,0,0,0,98,1999
3672,15,3,0,27,0,98,2000
3672,23,59,20,31,2,98,2001
3672,18,31,1,21,0,98,2002
3672,8,27,3,150,0,98,2003
