category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,subtype,type
Country,60.0,100.0,35.0,63.0,1.0,Afghanistan,Airports & Aircraft,Target Type
Country,393.0,1029.0,124.0,1534.0,10.0,Afghanistan,Business,Target Type
Country,274.0,150.0,13.0,2242.0,4.0,Afghanistan,Educational Institution,Target Type
Country,11.0,17.0,0.0,17.0,0.0,Afghanistan,Food or Water Supply,Target Type
Country,130.0,319.0,88.0,558.0,4.0,Afghanistan,Government (Diplomatic),Target Type
Country,1349.0,2836.0,825.0,4493.0,242.0,Afghanistan,Government (General),Target Type
Country,60.0,27.0,0.0,32.0,0.0,Afghanistan,Journalists & Media,Target Type
Country,4.0,2.0,0.0,0.0,0.0,Afghanistan,Maritime,Target Type
Country,1616.0,5329.0,2420.0,5175.0,898.0,Afghanistan,Military,Target Type
Country,138.0,188.0,16.0,165.0,10.0,Afghanistan,NGO,Target Type
Country,9.0,12.0,4.0,10.0,0.0,Afghanistan,Other,Target Type
Country,2688.0,8925.0,3833.0,8407.0,1693.0,Afghanistan,Police,Target Type
Country,1949.0,5881.0,843.0,6930.0,250.0,Afghanistan,Private Citizens & Property,Target Type
Country,165.0,379.0,38.0,721.0,0.0,Afghanistan,Religious Figures/Institutions,Target Type
Country,64.0,5.0,0.0,105.0,0.0,Afghanistan,Telecommunication,Target Type
Country,69.0,358.0,27.0,296.0,33.0,Afghanistan,Terrorists/Non-State Militia,Target Type
Country,2.0,3.0,0.0,1.0,0.0,Afghanistan,Tourists,Target Type
Country,111.0,549.0,16.0,554.0,0.0,Afghanistan,Transportation,Target Type
Country,22.0,17.0,9.0,14.0,0.0,Afghanistan,Utilities,Target Type
Country,11.0,22.0,0.0,33.0,0.0,Afghanistan,Violent Political Party,Target Type
Country,6.0,5.0,0.0,50.0,0.0,Albania,Business,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Albania,Educational Institution,Target Type
Country,3.0,0.0,0.0,0.0,0.0,Albania,Government (Diplomatic),Target Type
Country,28.0,3.0,0.0,20.0,0.0,Albania,Government (General),Target Type
Country,4.0,0.0,0.0,6.0,0.0,Albania,Journalists & Media,Target Type
Country,1.0,0.0,0.0,1.0,0.0,Albania,Military,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Albania,NGO,Target Type
Country,10.0,13.0,3.0,13.0,1.0,Albania,Police,Target Type
Country,10.0,15.0,0.0,22.0,0.0,Albania,Private Citizens & Property,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Albania,Religious Figures/Institutions,Target Type
Country,6.0,4.0,0.0,11.0,0.0,Albania,Transportation,Target Type
Country,17.0,12.0,0.0,100.0,0.0,Algeria,Airports & Aircraft,Target Type
Country,174.0,474.0,30.0,769.0,0.0,Algeria,Business,Target Type
Country,63.0,116.0,2.0,302.0,0.0,Algeria,Educational Institution,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Algeria,Food or Water Supply,Target Type
Country,18.0,21.0,0.0,6.0,0.0,Algeria,Government (Diplomatic),Target Type
Country,164.0,334.0,7.0,583.0,0.0,Algeria,Government (General),Target Type
Country,68.0,79.0,0.0,80.0,0.0,Algeria,Journalists & Media,Target Type
Country,2.0,9.0,0.0,1.0,0.0,Algeria,Maritime,Target Type
